source,query,name,repo_url,market_url,demo_url,article_url,source_url,license,description,harmony_pc_evidence,open_source_evidence,risk,decision
GitCode,鸿蒙 PC 应用 开源,坚果派 / 黄鹤开源社区鸿蒙应用,https://gitcode.com/nutpi/huanghe_community_openHarmony_App,,,,https://gitcode.com/nutpi/huanghe_community_openHarmony_App,MIT,黄鹤开源技术社区应用，是基于OpenHarmony精心打造的一款综合性开源社区应用。它深度挖掘并充分利用了OpenHarmony的卓越功能与开放性，致力于为开发者、开源项目及开源机构提供一站式信息聚合服务，涵盖热门资讯、开源活动、开源项目、开源人才评价等多维度信息。本项目还提供了一个详尽的解决方案，旨在指导开发者上手简单从零开始构建一个功能完备的开源社区类应用。,,GitCode 仓库可访问: https://gitcode.com/nutpi/huanghe_community_openHarmony_App; GitCode License: MIT; 公开源码仓库: https://gitcode.com/nutpi/huanghe_community_openHarmony_App; License 线索: MIT; GitCode 来源页面可访问: https://gitcode.com/nutpi/huanghe_community_openHarmony_App,缺少明确 PC 运行证据; 构建或运行步骤不完整,filtered: missing HarmonyOS PC executable/build evidence
GitCode,鸿蒙 PC 应用 开源,M-Robots 官方社区 / robot_middleware,https://gitcode.com/m-robots/robot_middleware,,,,https://gitcode.com/m-robots/robot_middleware,Apache-2.0,开源鸿蒙机器人核心子系统，机器人操作系统中间件框架，为应用提供了统一编程接口，包括机器人通信和消息传递等功能,,GitCode 仓库可访问: https://gitcode.com/m-robots/robot_middleware; GitCode License: Apache-2.0; 公开源码仓库: https://gitcode.com/m-robots/robot_middleware; License 线索: Apache-2.0; GitCode 来源页面可访问: https://gitcode.com/m-robots/robot_middleware,缺少明确 PC 运行证据; 构建或运行步骤不完整,filtered: missing HarmonyOS PC executable/build evidence
GitCode,鸿蒙 PC 应用 开源,鸿蒙生态服务（深圳）有限公司 / 鸿蒙PC应用生态共建,https://gitcode.com/harmony_ecosystem_services/HarmonyuOSPCApp,,,,https://gitcode.com/harmony_ecosystem_services/HarmonyuOSPCApp,,PC应用在鸿蒙PC上适配移植指南。,文本明确命中鸿蒙 PC 关键词: 鸿蒙pc,GitCode 仓库可访问: https://gitcode.com/harmony_ecosystem_services/HarmonyuOSPCApp; 公开源码仓库: https://gitcode.com/harmony_ecosystem_services/HarmonyuOSPCApp; GitCode 来源页面可访问: https://gitcode.com/harmony_ecosystem_services/HarmonyuOSPCApp,License 不明确; 构建或运行步骤不完整,filtered: score below 40
GitCode,鸿蒙 PC 应用 开源,深圳技术大学 / 鸿蒙PC适配与应用开发,https://gitcode.com/sztu/PC,,,,https://gitcode.com/sztu/PC,Apache-2.0,本项目旨在分享鸿蒙PC通用第三方库适配及应用开发经验，为鸿蒙PC适配开发提供参考与借鉴。,文本明确命中鸿蒙 PC 关键词: 鸿蒙pc,GitCode 仓库可访问: https://gitcode.com/sztu/PC; GitCode License: Apache-2.0; 公开源码仓库: https://gitcode.com/sztu/PC; License 线索: Apache-2.0; GitCode 来源页面可访问: https://gitcode.com/sztu/PC,构建或运行步骤不完整,kept
GitCode,鸿蒙 PC 应用 开源,realhackeris / HiSH,https://gitcode.com/realhackeris/HiSH,,,,https://gitcode.com/realhackeris/HiSH,MIT,在鸿蒙上运行Linux Shell，支持手机、平板、PC/2in1，已上架应用市场,,GitCode 仓库可访问: https://gitcode.com/realhackeris/HiSH; GitCode License: MIT; 公开源码仓库: https://gitcode.com/realhackeris/HiSH; License 线索: MIT; GitCode 来源页面可访问: https://gitcode.com/realhackeris/HiSH,缺少明确 PC 运行证据; 构建或运行步骤不完整,filtered: missing HarmonyOS PC executable/build evidence
GitCode,鸿蒙 PC 应用 开源,深圳技术大学 / 星闪开发-从开源鸿蒙轻量级内核到应用实践,https://gitcode.com/sztu/sparklink-book,,,,https://gitcode.com/sztu/sparklink-book,Apache-2.0,本案例库是深圳技术大学智能物联网通信实验室团队和问沧智能团队所著教材《星闪开发——从开源鸿蒙轻量级内核到应用实践》的配套源码，以新一代国产无线短距通信标准“星闪（NearLink）”中的低功耗接入技术（SLE）为主线，系统阐述从微内核、协议栈到行业应用的全栈嵌入式开发方法。内容完整呈现了基于开源鸿蒙轻量级内核操作系统的嵌入式开发全过程，指导开发者全面实践外设驱动、操作系统、通信组网及物联网应用项目。,,GitCode 仓库可访问: https://gitcode.com/sztu/sparklink-book; GitCode License: Apache-2.0; 公开源码仓库: https://gitcode.com/sztu/sparklink-book; License 线索: Apache-2.0; GitCode 来源页面可访问: https://gitcode.com/sztu/sparklink-book,缺少明确 PC 运行证据; 构建或运行步骤不完整,filtered: missing HarmonyOS PC executable/build evidence
GitCode,鸿蒙 PC HAP,bigmolihuan / hlbmerge_flutter,https://gitcode.com/bigmolihuan/hlbmerge_flutter,,,,https://gitcode.com/bigmolihuan/hlbmerge_flutter,Apache-2.0,全平台将Bilibili缓存视频合并导出为MP4，支持android、windows(10以上)、linux、mac、harmony(仅2in1和PC)、ios，支持B站Android客户端缓存，支持B站Windows客户端缓存，支持B站Mac客户端缓存,,GitCode 仓库可访问: https://gitcode.com/bigmolihuan/hlbmerge_flutter; GitHub 上游/导入仓库: https://github.com/molihuan/hlbmerge_flutter.git; GitCode License: Apache-2.0; 公开源码仓库: https://gitcode.com/bigmolihuan/hlbmerge_flutter; License 线索: Apache-2.0; GitCode 来源页面可访问: https://gitcode.com/bigmolihuan/hlbmerge_flutter,缺少明确 PC 运行证据; 构建或运行步骤不完整,filtered: missing HarmonyOS PC executable/build evidence
GitCode,鸿蒙 PC HAP,harmony-on-android / HOA,https://gitcode.com/harmony-on-android/HOA,,,,https://gitcode.com/harmony-on-android/HOA,,Harmony on Android. 在Android上直接运行hap,,GitCode 仓库可访问: https://gitcode.com/harmony-on-android/HOA; 公开源码仓库: https://gitcode.com/harmony-on-android/HOA; GitCode 来源页面可访问: https://gitcode.com/harmony-on-android/HOA,License 不明确; 缺少明确 PC 运行证据; 构建或运行步骤不完整,filtered: missing HarmonyOS PC executable/build evidence
GitCode,鸿蒙 PC HAP,arkcode / ohos_electron_hap,https://gitcode.com/ohosvscode/ohos_electron_hap,,,,https://gitcode.com/ohosvscode/ohos_electron_hap,,📱 一个基于 HarmonyOS 平台的 Electron 应用程序包（HAP）项目模板，提供完整的工具链和示例代码，帮助开发者将 Electron 应用无缝移植到鸿蒙设备。支持悬浮窗、系统权限管理、多窗口协同等鸿蒙原生特性，内置调试工具和权限配置指南。,发现 HAP 安装包或 HAP 安装线索; 发现鸿蒙相关构建/工程线索: ArkTS,GitCode 仓库可访问: https://gitcode.com/ohosvscode/ohos_electron_hap; 公开源码仓库: https://gitcode.com/ohosvscode/ohos_electron_hap; GitCode 来源页面可访问: https://gitcode.com/ohosvscode/ohos_electron_hap,License 不明确; 缺少明确 PC 运行证据,filtered: score below 40
GitCode,鸿蒙 PC HAP,OpenHarmony PC Developer / build_in_harmonyos,https://gitcode.com/OpenHarmonyPCDeveloper/build_in_harmonyos,,,,https://gitcode.com/OpenHarmonyPCDeveloper/build_in_harmonyos,,,文本明确命中鸿蒙 PC 关键词: openharmony pc,GitCode 仓库可访问: https://gitcode.com/OpenHarmonyPCDeveloper/build_in_harmonyos; 公开源码仓库: https://gitcode.com/OpenHarmonyPCDeveloper/build_in_harmonyos; GitCode 来源页面可访问: https://gitcode.com/OpenHarmonyPCDeveloper/build_in_harmonyos,License 不明确; 构建或运行步骤不完整,filtered: score below 40
GitCode,鸿蒙 PC HAP,GitHub推荐项目精选 / ha / harmonyos-tutorial,https://gitcode.com/GitHub_Trending/ha,,,,https://gitcode.com/GitHub_Trending/ha,,鸿蒙操作系统教程。《跟老卫学鸿蒙操作系统开发》,,GitCode 仓库可访问: https://gitcode.com/GitHub_Trending/ha; GitHub 上游/导入仓库: https://github.com/waylau/harmonyos-tutorial.git; 公开源码仓库: https://gitcode.com/GitHub_Trending/ha; GitCode 来源页面可访问: https://gitcode.com/GitHub_Trending/ha,License 不明确; 缺少明确 PC 运行证据; 构建或运行步骤不完整,filtered: missing HarmonyOS PC executable/build evidence
GitCode,鸿蒙 PC HAP,GitHub 加速计划 / ha / Harmony,https://gitcode.com/gh_mirrors/ha,,,,https://gitcode.com/gh_mirrors/ha,MIT,一个用于在运行时修补、替换和装饰 .NET 和 Mono 方法的库,,GitCode 仓库可访问: https://gitcode.com/gh_mirrors/ha; GitHub 上游/导入仓库: https://github.com/pardeike/Harmony.git; GitCode License: MIT; 公开源码仓库: https://gitcode.com/gh_mirrors/ha; License 线索: MIT; GitCode 来源页面可访问: https://gitcode.com/gh_mirrors/ha,缺少明确 PC 运行证据; 构建或运行步骤不完整,filtered: missing HarmonyOS PC executable/build evidence
GitCode,鸿蒙 PC HAP,harmony-on-android / hap-example,https://gitcode.com/harmony-on-android/hap-example,,,,https://gitcode.com/harmony-on-android/hap-example,,,发现 HAP 安装包或 HAP 安装线索; 发现鸿蒙相关构建/工程线索: ArkTS,GitCode 仓库可访问: https://gitcode.com/harmony-on-android/hap-example; 公开源码仓库: https://gitcode.com/harmony-on-android/hap-example; GitCode 来源页面可访问: https://gitcode.com/harmony-on-android/hap-example,License 不明确; 缺少明确 PC 运行证据,filtered: score below 40
GitCode,鸿蒙 PC HAP,OpenHarmony-Robot / OpenDesk,https://gitcode.com/openharmony-robot/OpenDesk,,,,https://gitcode.com/openharmony-robot/OpenDesk,NOASSERTION,面向通用办公的鸿蒙PC原生企业级智能体解决方案,文本明确命中鸿蒙 PC 关键词: 鸿蒙pc,GitCode 仓库可访问: https://gitcode.com/openharmony-robot/OpenDesk; GitCode License: NOASSERTION; 公开源码仓库: https://gitcode.com/openharmony-robot/OpenDesk; License 线索: NOASSERTION; GitCode 来源页面可访问: https://gitcode.com/openharmony-robot/OpenDesk,构建或运行步骤不完整,kept
GitCode,鸿蒙 PC DevEco,鸿蒙开发工具广场 / DevEcoTesting压力测试工程示例,https://gitcode.com/OpenHarmonyToolkitsPlaza/DevEcoTestingStressTestDemo,,,,https://gitcode.com/OpenHarmonyToolkitsPlaza/DevEcoTestingStressTestDemo,MIT_License,利用 DevEco Testing 工具实现自定义测试脚本来达成压力测试示例内容,发现鸿蒙相关构建/工程线索: DevEco,GitCode 仓库可访问: https://gitcode.com/OpenHarmonyToolkitsPlaza/DevEcoTestingStressTestDemo; GitCode License: MIT_License; 公开源码仓库: https://gitcode.com/OpenHarmonyToolkitsPlaza/DevEcoTestingStressTestDemo; License 线索: MIT_License; GitCode 来源页面可访问: https://gitcode.com/OpenHarmonyToolkitsPlaza/DevEcoTestingStressTestDemo,缺少明确 PC 运行证据,filtered: score below 40
GitCode,鸿蒙 PC DevEco,鸿蒙开发工具广场 / DevEcoTesting随机点击测试示例,https://gitcode.com/OpenHarmonyToolkitsPlaza/DevEcoTestingRandomTouchDemo,,,,https://gitcode.com/OpenHarmonyToolkitsPlaza/DevEcoTestingRandomTouchDemo,MIT_License,利用 DevEco Testing 工具实现自定义测试脚本来达成随机点击测试示例内容,发现鸿蒙相关构建/工程线索: DevEco,GitCode 仓库可访问: https://gitcode.com/OpenHarmonyToolkitsPlaza/DevEcoTestingRandomTouchDemo; GitCode License: MIT_License; 公开源码仓库: https://gitcode.com/OpenHarmonyToolkitsPlaza/DevEcoTestingRandomTouchDemo; License 线索: MIT_License; GitCode 来源页面可访问: https://gitcode.com/OpenHarmonyToolkitsPlaza/DevEcoTestingRandomTouchDemo,缺少明确 PC 运行证据,filtered: score below 40
GitCode,鸿蒙 PC DevEco,OpenHarmony PC Developer / JavaScript_Package_For_HarmonyOS,https://gitcode.com/OpenHarmonyPCDeveloper/JavaScript_Package_For_HarmonyOS,,,,https://gitcode.com/OpenHarmonyPCDeveloper/JavaScript_Package_For_HarmonyOS,,,文本明确命中鸿蒙 PC 关键词: openharmony pc,GitCode 仓库可访问: https://gitcode.com/OpenHarmonyPCDeveloper/JavaScript_Package_For_HarmonyOS; 公开源码仓库: https://gitcode.com/OpenHarmonyPCDeveloper/JavaScript_Package_For_HarmonyOS; GitCode 来源页面可访问: https://gitcode.com/OpenHarmonyPCDeveloper/JavaScript_Package_For_HarmonyOS,License 不明确; 构建或运行步骤不完整,filtered: score below 40
GitCode,鸿蒙 PC DevEco,GitHub 加速计划 / hi / HiSH,https://gitcode.com/gh_mirrors/hi,,,,https://gitcode.com/gh_mirrors/hi,MIT,在鸿蒙上运行Linux Shell，支持手机、平板、2in1/PC、TV,,GitCode 仓库可访问: https://gitcode.com/gh_mirrors/hi; GitHub 上游/导入仓库: https://github.com/harmoninux/HiSH.git; GitCode License: MIT; 公开源码仓库: https://gitcode.com/gh_mirrors/hi; License 线索: MIT; GitCode 来源页面可访问: https://gitcode.com/gh_mirrors/hi,缺少明确 PC 运行证据; 构建或运行步骤不完整,filtered: missing HarmonyOS PC executable/build evidence
GitCode,鸿蒙 PC ArkTS,鸿蒙开发工具广场 / ArkTs代码调用接口分析工具,https://gitcode.com/OpenHarmonyToolkitsPlaza/countFuncCallsInTS,,,,https://gitcode.com/OpenHarmonyToolkitsPlaza/countFuncCallsInTS,MIT,提取 ts 代码中所有函数调用和模块引入。,发现鸿蒙相关构建/工程线索: ArkTS,GitCode 仓库可访问: https://gitcode.com/OpenHarmonyToolkitsPlaza/countFuncCallsInTS; GitCode License: MIT; 公开源码仓库: https://gitcode.com/OpenHarmonyToolkitsPlaza/countFuncCallsInTS; License 线索: MIT; GitCode 来源页面可访问: https://gitcode.com/OpenHarmonyToolkitsPlaza/countFuncCallsInTS,缺少明确 PC 运行证据,filtered: score below 40
GitCode,鸿蒙 PC ArkTS,鸿蒙开发工具广场 / arkTsPlugin,https://gitcode.com/OpenHarmonyToolkitsPlaza/arkTsPlugin,,,,https://gitcode.com/OpenHarmonyToolkitsPlaza/arkTsPlugin,MIT,适配intellij底座的arkts语言插件,发现鸿蒙相关构建/工程线索: ArkTS,GitCode 仓库可访问: https://gitcode.com/OpenHarmonyToolkitsPlaza/arkTsPlugin; GitCode License: MIT; 公开源码仓库: https://gitcode.com/OpenHarmonyToolkitsPlaza/arkTsPlugin; License 线索: MIT; GitCode 来源页面可访问: https://gitcode.com/OpenHarmonyToolkitsPlaza/arkTsPlugin,缺少明确 PC 运行证据,filtered: score below 40
GitCode,鸿蒙 PC ArkTS,鸿蒙开发工具广场 / arkTs冗余导入检测工具,https://gitcode.com/OpenHarmonyToolkitsPlaza/RedundantImportDetection,,,,https://gitcode.com/OpenHarmonyToolkitsPlaza/RedundantImportDetection,ISC,用户静态扫描import不合理写法,发现鸿蒙相关构建/工程线索: ArkTS,GitCode 仓库可访问: https://gitcode.com/OpenHarmonyToolkitsPlaza/RedundantImportDetection; GitCode License: ISC; 公开源码仓库: https://gitcode.com/OpenHarmonyToolkitsPlaza/RedundantImportDetection; License 线索: ISC; GitCode 来源页面可访问: https://gitcode.com/OpenHarmonyToolkitsPlaza/RedundantImportDetection,缺少明确 PC 运行证据,filtered: score below 40
GitCode,鸿蒙 PC ArkTS,鸿蒙开发工具广场 / JsonToArkTS,https://gitcode.com/OpenHarmonyToolkitsPlaza/JsonToArkTS,,,,https://gitcode.com/OpenHarmonyToolkitsPlaza/JsonToArkTS,Apache_License_v2.0,将 json 字符串转为 ArkTS 中的数据类，并且可以自动添加 @Trace @ObservedV2 装饰器。可选数据类属性为可空或者为默认值,发现鸿蒙相关构建/工程线索: ArkTS,GitCode 仓库可访问: https://gitcode.com/OpenHarmonyToolkitsPlaza/JsonToArkTS; GitCode License: Apache_License_v2.0; 公开源码仓库: https://gitcode.com/OpenHarmonyToolkitsPlaza/JsonToArkTS; License 线索: Apache_License_v2.0; GitCode 来源页面可访问: https://gitcode.com/OpenHarmonyToolkitsPlaza/JsonToArkTS,缺少明确 PC 运行证据,filtered: score below 40
GitCode,鸿蒙 PC ArkTS,qq8864 / LibMediaInfoDemo,https://gitcode.com/qq8864/LibMediaInfoDemo,,,,https://gitcode.com/qq8864/LibMediaInfoDemo,,在 HarmonyOS/鸿蒙PC ArkTS 侧调用 C/C++ 三方库完整指南demo演示项目。,文本明确命中鸿蒙 PC 关键词: 鸿蒙pc; 发现鸿蒙相关构建/工程线索: ArkTS,GitCode 仓库可访问: https://gitcode.com/qq8864/LibMediaInfoDemo; 公开源码仓库: https://gitcode.com/qq8864/LibMediaInfoDemo; GitCode 来源页面可访问: https://gitcode.com/qq8864/LibMediaInfoDemo,License 不明确,kept
GitCode,鸿蒙 PC ArkTS,OpenHarmony PC Developer / ohos_Scribus,https://gitcode.com/OpenHarmonyPCDeveloper/ohos_Scribus,,,,https://gitcode.com/OpenHarmonyPCDeveloper/ohos_Scribus,NOASSERTION,"基于 Qt 的原生 Widgets 桌面排版软件,经 ""Qt for HarmonyOS"" 路线承载:ArkTS 全窗口 XComponent 加载 Qt OpenHarmony QPA 插件,dlopen 原生 libentry.so 并调用 qtmain 转发到 Scribus 的 main()。以 Q_OS_OPENHARMONY 守卫导出 default-visibility 的 qtmain 别名、跳过 X11 xcb 提示,最终在鸿蒙 PC 以 SHELL 模式跑通 ArkTS → XComponent → QPA → Qt 可交互窗口管线。","文本明确命中鸿蒙 PC 关键词: openharmony pc; 文本明确命中鸿蒙 PC 关键词: 鸿蒙 pc; 发现鸿蒙相关构建/工程线索: ArkTS, Qt for HarmonyOS; 发现 Qt/Electron for HarmonyOS/OpenHarmony 构建说明",GitCode 仓库可访问: https://gitcode.com/OpenHarmonyPCDeveloper/ohos_Scribus; GitCode License: NOASSERTION; 公开源码仓库: https://gitcode.com/OpenHarmonyPCDeveloper/ohos_Scribus; License 线索: NOASSERTION; GitCode 来源页面可访问: https://gitcode.com/OpenHarmonyPCDeveloper/ohos_Scribus,,kept
GitCode,鸿蒙 PC ArkTS,openharmony-skills / deveco-studio-codelinter,https://gitcode.com/openharmony-skills/deveco-studio-codelinter,,,,https://gitcode.com/openharmony-skills/deveco-studio-codelinter,,对 HarmonyOS（鸿蒙）项目运行 DevEco Studio CodeLinter 静态代码检查，解读检查结果并提供修复建议。支持 ArkTS、TS、JS 文件，涵盖性能、安全、代码规范、正确性、跨设备适配、API 兼容性等规则集。当用户提到 codelinter、code linting、鸿蒙代码检查、鸿蒙应用质量、HarmonyOS 代码质量检查、静态代码分析、规范扫描、性能检查、安全扫描、代码审查、规则检查、lint 报告时使用。原始仓库：https://gitcode.com/HarmonyOS_Skills/harmonyos-agent-skills,"发现鸿蒙相关构建/工程线索: DevEco, ArkTS",GitCode 仓库可访问: https://gitcode.com/openharmony-skills/deveco-studio-codelinter; 公开源码仓库: https://gitcode.com/openharmony-skills/deveco-studio-codelinter; GitCode 来源页面可访问: https://gitcode.com/openharmony-skills/deveco-studio-codelinter,License 不明确; 缺少明确 PC 运行证据,filtered: score below 40
GitCode,鸿蒙 PC ArkTS,OpenHarmony PC Developer / ohos_Luyten,https://gitcode.com/OpenHarmonyPCDeveloper/ohos_Luyten,,,,https://gitcode.com/OpenHarmonyPCDeveloper/ohos_Luyten,NOASSERTION,基于 Procyon 的 Java 反编译器，因鸿蒙 PC 无 JVM、Swing 无法运行，先以本地 HTTP 服务桥接、最终用纯 ArkTS 重写 ZIP/DEFLATE 解压与 class 字节码解析，实现无需 JVM 即可打开 .jar/.class 并展示反编译内容。,文本明确命中鸿蒙 PC 关键词: openharmony pc; 文本明确命中鸿蒙 PC 关键词: 鸿蒙 pc; 发现鸿蒙相关构建/工程线索: ArkTS,GitCode 仓库可访问: https://gitcode.com/OpenHarmonyPCDeveloper/ohos_Luyten; GitCode License: NOASSERTION; 公开源码仓库: https://gitcode.com/OpenHarmonyPCDeveloper/ohos_Luyten; License 线索: NOASSERTION; GitCode 来源页面可访问: https://gitcode.com/OpenHarmonyPCDeveloper/ohos_Luyten,,kept
