name,category,status,score,source,repo_url,market_url,demo_url,article_url,license,description,tech_stack,build_method,install_method,harmony_pc_evidence,open_source_evidence,risk,recommendation,last_checked
Mydstiny/RemoteDeskHarmonyOS,终端与运行环境,confirmed,85,GitHub repo search,https://github.com/Mydstiny/RemoteDeskHarmonyOS,,,,Apache-2.0,鸿蒙PC双协议远程桌面客户端 — RDP (FreeRDP) + RustDesk 双协议 · HMS 云同步 · 主机安全锁 · 沉浸光感 UI,"ArkTS, C++, Rust, WebView, HAP, C","DevEco, hvigor, ArkTS, Stage Model, cmake, npm","HAP, Release, 应用市场","文本明确命中鸿蒙 PC 关键词: 鸿蒙pc; 发现 HAP 安装包或 HAP 安装线索; 发现鸿蒙相关构建/工程线索: DevEco, hvigor, ArkTS, Stage Model, cmake, npm",公开源码仓库: https://github.com/Mydstiny/RemoteDeskHarmonyOS; LICENSE: Apache-2.0; README 可访问; 源码目录结构可访问; Release 页面可访问: https://github.com/Mydstiny/RemoteDeskHarmonyOS/releases/tag/v1.2,可能依赖高权限或系统能力,优先验证,2026-06-26
Mencaje/voxera-harmonyos,终端与运行环境,confirmed,85,GitHub repo search,https://github.com/Mencaje/voxera-harmonyos,,,,LGPL-2.1,Voxera 鸿蒙版：基于 Luanti 的方块沙盒客户端，运行于 HarmonyOS / OpenHarmony。适配鸿蒙pc，含中文界面、本地 Mod/游戏包安装，并针对鸿蒙窗口、键鼠与触控做了优化。,"ArkTS, Qt, C++, Rust, HAP","DevEco, hvigor, ArkTS, Stage Model, qmake, cmake, npm","HAP, Release","文本明确命中鸿蒙 PC 关键词: harmonyos pc; 文本明确命中鸿蒙 PC 关键词: openharmony pc; 文本明确命中鸿蒙 PC 关键词: 鸿蒙pc; 发现 HAP 安装包或 HAP 安装线索; 发现鸿蒙相关构建/工程线索: DevEco, hvigor, ArkTS, Stage Model, qmake, cmake, npm",公开源码仓库: https://github.com/Mencaje/voxera-harmonyos; LICENSE: LGPL-2.1; README 可访问; 源码目录结构可访问; Release 页面可访问: https://github.com/Mencaje/voxera-harmonyos/releases/tag/voxeraOpenHarmonyapi14,可能依赖高权限或系统能力,优先验证,2026-06-26
zacksleo/awesome-harmonyos-flutter,桌面软件移植项目,confirmed,85,GitHub repo search,https://github.com/zacksleo/awesome-harmonyos-flutter,,,,Apache-2.0,《鸿蒙 Flutter 实战》《鸿蒙原生开发手记》,"ArkTS, Flutter, WebView",ArkTS,,文本明确命中鸿蒙 PC 关键词: 鸿蒙pc; 发现鸿蒙相关构建/工程线索: ArkTS,公开源码仓库: https://github.com/zacksleo/awesome-harmonyos-flutter; LICENSE: Apache-2.0; README 可访问; 源码目录结构可访问,,优先验证,2026-06-26
AetheriumSimulator/qemu-hmos,终端与运行环境,confirmed,85,"GitHub repo search, GitHub code search",https://github.com/AetheriumSimulator/qemu-hmos,,,,GPL-2.0,"A QEMU distro for Huawei's HarmonyOS Tablets and laptops, working in progress.","ArkTS, Qt, C++, Rust","DevEco, hvigor, ArkTS, Stage Model, qmake, cmake, npm","HAP, Release","文本明确命中鸿蒙 PC 关键词: 鸿蒙电脑; 文本明确命中鸿蒙 PC 关键词: 鸿蒙桌面; 发现 HAP 安装包或 HAP 安装线索; 发现鸿蒙相关构建/工程线索: DevEco, hvigor, ArkTS, Stage Model, qmake, cmake, npm",公开源码仓库: https://github.com/AetheriumSimulator/qemu-hmos; LICENSE: GPL-2.0; README 可访问; 源码目录结构可访问; Release 页面可访问: https://github.com/AetheriumSimulator/qemu-hmos/releases/tag/prebuilt-libs,可能依赖高权限或系统能力,优先验证,2026-06-26
fenwii/OpenHarmony,终端与运行环境,confirmed,85,"GitHub repo search, GitHub code search",https://github.com/fenwii/OpenHarmony,,,https://zhuanlan.zhihu.com/p/384499498,MIT,华为鸿蒙分布式操作系统（Huawei HarmonyOS，纯血鸿蒙Harmony Next ），开源鸿蒙分布式操作系统（ OpenHarmony）开发技术交流，最全鸿蒙技术资料库，手册，指南，共建国产操作系统万物互联新生态。,"ArkTS, Qt, C++, C","DevEco, ArkTS, Qt for HarmonyOS, qmake, cmake",,"文本明确命中鸿蒙 PC 关键词: 鸿蒙pc; 文本明确命中鸿蒙 PC 关键词: 鸿蒙电脑; 发现鸿蒙相关构建/工程线索: DevEco, ArkTS, Qt for HarmonyOS, qmake, cmake",公开源码仓库: https://github.com/fenwii/OpenHarmony; LICENSE: MIT; README 可访问; 源码目录结构可访问,,优先验证,2026-06-26
social4hyq/ohos-playwright,终端与运行环境,confirmed,85,GitHub repo search,https://github.com/social4hyq/ohos-playwright,,,,MIT,Playwright adapter for OpenHarmony / ArkWeb via hdc + CDP,"WebView, TypeScript",npm,Release,文本明确命中鸿蒙 PC 关键词: harmonyos pc; 发现鸿蒙相关构建/工程线索: npm,公开源码仓库: https://github.com/social4hyq/ohos-playwright; LICENSE: MIT; README 可访问; 源码目录结构可访问; Release 页面可访问: https://github.com/social4hyq/ohos-playwright/releases/tag/v0.3.2,,优先验证,2026-06-26
chenjh16/HarmonyOS-Claude-Code,终端与运行环境,confirmed,85,"GitHub repo search, GitHub code search",https://github.com/chenjh16/HarmonyOS-Claude-Code,,,,MIT,Claude Code for HarmonyOS PC with HiShell.,"C++, Rust, Go, TypeScript",npm,"Release, 应用市场, 源码编译",文本明确命中鸿蒙 PC 关键词: harmonyos pc; 文本明确命中鸿蒙 PC 关键词: harmonyos-pc; 发现鸿蒙相关构建/工程线索: npm,公开源码仓库: https://github.com/chenjh16/HarmonyOS-Claude-Code; LICENSE: MIT; README 可访问; 源码目录结构可访问; Release 页面可访问: https://github.com/chenjh16/HarmonyOS-Claude-Code/releases/tag/v2.1.81,可能依赖高权限或系统能力,优先验证,2026-06-26
HanversionOvO/BiliMusic,终端与运行环境,confirmed,80,"GitHub repo search, GitHub code search",https://github.com/HanversionOvO/BiliMusic,,,,License 不明确,Turn your bilibili into music player,"ArkTS, Electron, C++, HAP, TypeScript","DevEco, hvigor, ArkTS, Stage Model, npm","HAP, Release","文本明确命中鸿蒙 PC 关键词: harmonyos pc; 文本明确命中鸿蒙 PC 关键词: harmonyos-pc; 文本明确命中鸿蒙 PC 关键词: 鸿蒙 pc; 发现 HAP 安装包或 HAP 安装线索; 发现鸿蒙相关构建/工程线索: DevEco, hvigor, ArkTS, Stage Model, npm",公开源码仓库: https://github.com/HanversionOvO/BiliMusic; README 可访问; 源码目录结构可访问; Release 页面可访问: https://github.com/HanversionOvO/BiliMusic/releases/tag/v1.0.2,License 不明确,优先验证,2026-06-26
aizhaiyu/jimu-comate,开发工具,confirmed,80,GitHub repo search,https://github.com/aizhaiyu/jimu-comate,,https://b23.tv/CW4D1x3,,License 不明确,一款专为儿童设计的3D积木创意设计 app，让孩子在数字世界中自由发挥想象力，轻松搭建属于自己的积木作品,"ArkTS, Qt, C++, Flutter, WebView, HAP, Dart","hvigor, ArkTS, Stage Model, qmake, cmake, npm","HAP, 应用市场","文本明确命中鸿蒙 PC 关键词: 鸿蒙 pc; 文本明确命中鸿蒙 PC 关键词: 鸿蒙桌面; 发现 HAP 安装包或 HAP 安装线索; 发现鸿蒙相关构建/工程线索: hvigor, ArkTS, Stage Model, qmake, cmake, npm",公开源码仓库: https://github.com/aizhaiyu/jimu-comate; README 可访问; 源码目录结构可访问,License 不明确,优先验证,2026-06-26
waylau/harmonyos-tutorial,终端与运行环境,confirmed,80,GitHub repo search,https://github.com/waylau/harmonyos-tutorial,,https://www.bilibili.com/video/BV1Qh411U7Go?share_source=copy_web,https://ost.51cto.com/posts/33218,License 不明确,HarmonyOS Tutorial. 《跟老卫学HarmonyOS开发》,"ArkTS, Qt, Electron, Rust","DevEco, hvigor, ArkTS, Stage Model, qmake, npm",Release,"文本明确命中鸿蒙 PC 关键词: 鸿蒙pc; 文本明确命中鸿蒙 PC 关键词: 鸿蒙电脑; 发现鸿蒙相关构建/工程线索: DevEco, hvigor, ArkTS, Stage Model, qmake, npm",公开源码仓库: https://github.com/waylau/harmonyos-tutorial; README 可访问; 源码目录结构可访问; Release 页面可访问: https://github.com/waylau/harmonyos-tutorial/releases/tag/v5.0.0-20260110,License 不明确,优先验证,2026-06-26
KumaTea/harmonyos-eco-practice,原生鸿蒙 PC 应用,confirmed,80,GitHub repo search,https://github.com/KumaTea/harmonyos-eco-practice,,,https://zhuanlan.zhihu.com/p/1945613830722912366,Other,华为鸿蒙生态替代最佳实践 Best Practice for Replacement of the Ecosystem of Huawei HarmonyOS NEXT,HAP,,"HAP, 应用市场",文本明确命中鸿蒙 PC 关键词: 鸿蒙电脑; 发现 HAP 安装包或 HAP 安装线索,公开源码仓库: https://github.com/KumaTea/harmonyos-eco-practice; LICENSE: Other; README 可访问; 源码目录结构可访问,,优先验证,2026-06-26
zacksleo/zacksleo.github.io,终端与运行环境,confirmed,80,GitHub repo search,https://github.com/zacksleo/zacksleo.github.io,,https://space.bilibili.com/50859832,https://blog.csdn.net/zackslee,License 不明确,"💻 Personal Blog: PHP, Python, Golang, DevOps, Backend","ArkTS, Qt, Rust, Go, Flutter, WebView, Nunjucks","ArkTS, npm",Release,"文本明确命中鸿蒙 PC 关键词: 鸿蒙pc; 发现鸿蒙相关构建/工程线索: ArkTS, npm",公开源码仓库: https://github.com/zacksleo/zacksleo.github.io; README 可访问; 源码目录结构可访问; Release 页面可访问: https://github.com/zacksleo/zacksleo.github.io/releases/tag/2.0.0,License 不明确,优先验证,2026-06-26
Sunny1513/MagicWidget,开发工具,confirmed,80,"GitHub repo search, GitHub code search",https://github.com/Sunny1513/MagicWidget,,,,License 不明确,神奇小部件是一款种类丰富、操作简单、无广告的桌面万能小组件APP。基于创新的ONE.WIDGET技术架构可以轻松创建属于您个性桌面，同时做到几乎不耗电以及对手机性能没有任何影响。,"Qt, Java",qmake,Release,文本明确命中鸿蒙 PC 关键词: 鸿蒙桌面; 发现鸿蒙相关构建/工程线索: qmake,公开源码仓库: https://github.com/Sunny1513/MagicWidget; README 可访问; 源码目录结构可访问; Release 页面可访问: https://github.com/Sunny1513/MagicWidget/releases/tag/release,License 不明确,优先验证,2026-06-26
HarmonybrewGlobal/uname-is-linux,桌面软件移植项目,confirmed,75,GitHub repo search,https://github.com/HarmonybrewGlobal/uname-is-linux,,,,BSD-2-Clause,,"C++, C",cmake,,文本明确命中鸿蒙 PC 关键词: 鸿蒙 pc; 发现鸿蒙相关构建/工程线索: cmake,公开源码仓库: https://github.com/HarmonybrewGlobal/uname-is-linux; LICENSE: BSD-2-Clause; README 可访问; 源码目录结构可访问,,值得关注,2026-06-26
Bosco1262/ClaudeCode-Deployment-for-HarmonyOS,终端与运行环境,confirmed,75,GitHub repo search,https://github.com/Bosco1262/ClaudeCode-Deployment-for-HarmonyOS,,,,MIT,"A complete tutorial for deploying Claude Code in HarmonyOS PC, including router for OpenAI-compatible API format.",JavaScript,,"Release, 应用市场",文本明确命中鸿蒙 PC 关键词: harmonyos pc,公开源码仓库: https://github.com/Bosco1262/ClaudeCode-Deployment-for-HarmonyOS; LICENSE: MIT; README 可访问; 源码目录结构可访问; Release 页面可访问: https://github.com/Bosco1262/ClaudeCode-Deployment-for-HarmonyOS/releases/tag/v2.0.1-Bilingual_Support,,值得关注,2026-06-26
zhouchanglin-rr/CodeWhale,终端与运行环境,confirmed,75,GitHub repo search,https://github.com/zhouchanglin-rr/CodeWhale,,,,MIT,DeepSeek + MiMo coding agent in terminal,"Rust, Go","npm, cargo",Release,"文本明确命中鸿蒙 PC 关键词: harmonyos pc; 发现鸿蒙相关构建/工程线索: npm, cargo",公开源码仓库: https://github.com/zhouchanglin-rr/CodeWhale; LICENSE: MIT; README 可访问; 源码目录结构可访问; Release 页面可访问: https://github.com/zhouchanglin-rr/CodeWhale/releases/tag/test-remote,可能依赖高权限或系统能力,值得关注,2026-06-26
Joezervi/zervi-deepseek-tui,终端与运行环境,confirmed,75,GitHub repo search,https://github.com/Joezervi/zervi-deepseek-tui,,,,MIT,DeepSeek TUI - Team launcher with mode/runtime/model picker. One-click setup for our development team.,"Rust, Go","npm, cargo",Release,"文本明确命中鸿蒙 PC 关键词: harmonyos pc; 发现鸿蒙相关构建/工程线索: npm, cargo",公开源码仓库: https://github.com/Joezervi/zervi-deepseek-tui; LICENSE: MIT; README 可访问; 源码目录结构可访问; Release 页面可访问: https://github.com/Joezervi/zervi-deepseek-tui/releases/tag/v0.8.36,可能依赖高权限或系统能力,值得关注,2026-06-26
freestylefly/Doubao-TUI,终端与运行环境,confirmed,75,GitHub repo search,https://github.com/freestylefly/Doubao-TUI,,,,MIT,Doubao TUI: terminal-native AI assistant for Volcengine Ark Doubao Seed models,"Rust, Go","npm, cargo",Release,"文本明确命中鸿蒙 PC 关键词: harmonyos pc; 发现鸿蒙相关构建/工程线索: npm, cargo",公开源码仓库: https://github.com/freestylefly/Doubao-TUI; LICENSE: MIT; README 可访问; 源码目录结构可访问; Release 页面可访问: https://github.com/freestylefly/Doubao-TUI/releases/tag/v0.8.17,可能依赖高权限或系统能力,值得关注,2026-06-26
harmoninux/Harmonix,终端与运行环境,confirmed,75,"GitHub repo search, GitHub code search",https://github.com/harmoninux/Harmonix,,,,MIT,A terminal for running Linux ELF binary on HarmonyOS PC.,"ArkTS, C++, WebView, HAP, JavaScript","hvigor, ArkTS, Stage Model, cmake, npm","HAP, Release","文本明确命中鸿蒙 PC 关键词: harmonyos pc; 发现 HAP 安装包或 HAP 安装线索; 发现鸿蒙相关构建/工程线索: hvigor, ArkTS, Stage Model, cmake, npm",公开源码仓库: https://github.com/harmoninux/Harmonix; LICENSE: MIT; README 可访问; 源码目录结构可访问; Release 页面可访问: https://github.com/harmoninux/Harmonix/releases/tag/v0.0.11,可能依赖高权限或系统能力,值得关注,2026-06-26
TermonyHQ/Termony,终端与运行环境,confirmed,75,"GitHub repo search, GitHub code search",https://github.com/TermonyHQ/Termony,,,,MIT,Termux for HarmonyOS Computer. Working in Progress.,"ArkTS, C++, HAP","DevEco, hvigor, ArkTS, Stage Model, cmake, npm",HAP,"文本明确命中鸿蒙 PC 关键词: harmonyos computer; 发现 HAP 安装包或 HAP 安装线索; 发现鸿蒙相关构建/工程线索: DevEco, hvigor, ArkTS, Stage Model, cmake, npm",公开源码仓库: https://github.com/TermonyHQ/Termony; LICENSE: MIT; README 可访问; 源码目录结构可访问,可能依赖高权限或系统能力,值得关注,2026-06-26
Harmonybrew/ohos-sed,终端与运行环境,confirmed,75,GitHub repo search,https://github.com/Harmonybrew/ohos-sed,,,,BSD-2-Clause,,Shell,,Release,文本明确命中鸿蒙 PC 关键词: 鸿蒙 pc,公开源码仓库: https://github.com/Harmonybrew/ohos-sed; LICENSE: BSD-2-Clause; README 可访问; 源码目录结构可访问; Release 页面可访问: https://github.com/Harmonybrew/ohos-sed/releases/tag/4.10,,值得关注,2026-06-26
Harmonybrew/ohos-ruby,终端与运行环境,confirmed,75,GitHub repo search,https://github.com/Harmonybrew/ohos-ruby,,,,BSD-2-Clause,,Shell,,Release,文本明确命中鸿蒙 PC 关键词: 鸿蒙 pc,公开源码仓库: https://github.com/Harmonybrew/ohos-ruby; LICENSE: BSD-2-Clause; README 可访问; 源码目录结构可访问; Release 页面可访问: https://github.com/Harmonybrew/ohos-ruby/releases/tag/4.0.3,,值得关注,2026-06-26
Harmonybrew/ohos-python,终端与运行环境,confirmed,75,GitHub repo search,https://github.com/Harmonybrew/ohos-python,,,,BSD-2-Clause,,Shell,,Release,文本明确命中鸿蒙 PC 关键词: 鸿蒙 pc,公开源码仓库: https://github.com/Harmonybrew/ohos-python; LICENSE: BSD-2-Clause; README 可访问; 源码目录结构可访问; Release 页面可访问: https://github.com/Harmonybrew/ohos-python/releases/tag/3.14.5,,值得关注,2026-06-26
Harmonybrew/ohos-curl,终端与运行环境,confirmed,75,GitHub repo search,https://github.com/Harmonybrew/ohos-curl,,,,BSD-2-Clause,,Shell,,Release,文本明确命中鸿蒙 PC 关键词: 鸿蒙 pc,公开源码仓库: https://github.com/Harmonybrew/ohos-curl; LICENSE: BSD-2-Clause; README 可访问; 源码目录结构可访问; Release 页面可访问: https://github.com/Harmonybrew/ohos-curl/releases/tag/8.19.0,,值得关注,2026-06-26
Harmonybrew/ohos-git,终端与运行环境,confirmed,75,GitHub repo search,https://github.com/Harmonybrew/ohos-git,,,,BSD-2-Clause,,Shell,,Release,文本明确命中鸿蒙 PC 关键词: 鸿蒙 pc,公开源码仓库: https://github.com/Harmonybrew/ohos-git; LICENSE: BSD-2-Clause; README 可访问; 源码目录结构可访问; Release 页面可访问: https://github.com/Harmonybrew/ohos-git/releases/tag/2.53.0,,值得关注,2026-06-26
Harmonybrew/ohos-patch,终端与运行环境,confirmed,75,GitHub repo search,https://github.com/Harmonybrew/ohos-patch,,,,BSD-2-Clause,,Shell,,Release,文本明确命中鸿蒙 PC 关键词: 鸿蒙 pc,公开源码仓库: https://github.com/Harmonybrew/ohos-patch; LICENSE: BSD-2-Clause; README 可访问; 源码目录结构可访问; Release 页面可访问: https://github.com/Harmonybrew/ohos-patch/releases/tag/2.8,,值得关注,2026-06-26
Harmonybrew/ohos-diffutils,终端与运行环境,confirmed,75,GitHub repo search,https://github.com/Harmonybrew/ohos-diffutils,,,,BSD-2-Clause,,Shell,,Release,文本明确命中鸿蒙 PC 关键词: 鸿蒙 pc,公开源码仓库: https://github.com/Harmonybrew/ohos-diffutils; LICENSE: BSD-2-Clause; README 可访问; 源码目录结构可访问; Release 页面可访问: https://github.com/Harmonybrew/ohos-diffutils/releases/tag/3.12,,值得关注,2026-06-26
Harmonybrew/ohos-openssh,终端与运行环境,confirmed,75,GitHub repo search,https://github.com/Harmonybrew/ohos-openssh,,,,BSD-2-Clause,,Shell,,Release,文本明确命中鸿蒙 PC 关键词: 鸿蒙 pc,公开源码仓库: https://github.com/Harmonybrew/ohos-openssh; LICENSE: BSD-2-Clause; README 可访问; 源码目录结构可访问; Release 页面可访问: https://github.com/Harmonybrew/ohos-openssh/releases/tag/10.2p1,,值得关注,2026-06-26
Harmonybrew/ohos-bash,终端与运行环境,confirmed,75,GitHub repo search,https://github.com/Harmonybrew/ohos-bash,,,,BSD-2-Clause,,Shell,,Release,文本明确命中鸿蒙 PC 关键词: 鸿蒙 pc,公开源码仓库: https://github.com/Harmonybrew/ohos-bash; LICENSE: BSD-2-Clause; README 可访问; 源码目录结构可访问; Release 页面可访问: https://github.com/Harmonybrew/ohos-bash/releases/tag/5.3,,值得关注,2026-06-26
Harmonybrew/ohos-vim,终端与运行环境,confirmed,75,GitHub repo search,https://github.com/Harmonybrew/ohos-vim,,,,BSD-2-Clause,,Shell,,Release,文本明确命中鸿蒙 PC 关键词: 鸿蒙 pc,公开源码仓库: https://github.com/Harmonybrew/ohos-vim; LICENSE: BSD-2-Clause; README 可访问; 源码目录结构可访问; Release 页面可访问: https://github.com/Harmonybrew/ohos-vim/releases/tag/9.2.0150,,值得关注,2026-06-26
Harmonybrew/ohos-zsh,终端与运行环境,confirmed,75,GitHub repo search,https://github.com/Harmonybrew/ohos-zsh,,,,BSD-2-Clause,,Shell,,Release,文本明确命中鸿蒙 PC 关键词: 鸿蒙 pc,公开源码仓库: https://github.com/Harmonybrew/ohos-zsh; LICENSE: BSD-2-Clause; README 可访问; 源码目录结构可访问; Release 页面可访问: https://github.com/Harmonybrew/ohos-zsh/releases/tag/5.9,,值得关注,2026-06-26
Harmonybrew/ohos-autoconf,终端与运行环境,confirmed,75,GitHub repo search,https://github.com/Harmonybrew/ohos-autoconf,,,,BSD-2-Clause,,Shell,,Release,文本明确命中鸿蒙 PC 关键词: 鸿蒙 pc,公开源码仓库: https://github.com/Harmonybrew/ohos-autoconf; LICENSE: BSD-2-Clause; README 可访问; 源码目录结构可访问; Release 页面可访问: https://github.com/Harmonybrew/ohos-autoconf/releases/tag/2.72,,值得关注,2026-06-26
Harmonybrew/ohos-texinfo,终端与运行环境,confirmed,75,GitHub repo search,https://github.com/Harmonybrew/ohos-texinfo,,,,BSD-2-Clause,,Shell,,Release,文本明确命中鸿蒙 PC 关键词: 鸿蒙 pc,公开源码仓库: https://github.com/Harmonybrew/ohos-texinfo; LICENSE: BSD-2-Clause; README 可访问; 源码目录结构可访问; Release 页面可访问: https://github.com/Harmonybrew/ohos-texinfo/releases/tag/7.2,,值得关注,2026-06-26
